idp,x,y,z
513,-60.09321,-34.00306,0
514,-60.16369,-34.22427,2
515,-60.1102,-34.32262,2
516,-60.2288,-34.24498,2
517,-60.13773,-34.18691,0
518,-60.44021,-34.17222,2
519,-60.447,-34.29732,2
520,-60.31493,-34.26434,2
521,-60.36926,-34.03762,0
522,-60.38615,-34.24536,0
523,-60.38972,-34.23602,0
524,-60.02438,-34.31009,2
525,-59.91537,-34.03509,NA
526,-59.91943,-34.05902,0
528,-60.11648,-34.0313,0
529,-59.9163,-34.07308,0
530,-59.75893,-34.12193,2
531,-59.82332,-34.09643,0
532,-59.97006,-34.08855,2
533,-59.86313,-34.02333,0
534,-59.61477,-34.13092,2
535,-59.64196,-34.11336,2
536,-59.56864,-34.01059,2
537,-60.23164,-34.09555,1
538,-59.65497,-34.03202,1
539,-59.78598,-34.31818,0
540,-59.92748,-34.25709,0
541,-59.92147,-34.26019,2
542,-60.74559,-34.31806,NA
543,-60.23586,-34.04782,0
545,-59.98663,-34.26772,NA
549,-59.63046,-34.11057,NA
550,-59.61253,-34.2196,2
552,-60.21465,-34.04322,0
553,-59.96796,-34.18296,0
554,-59.97409,-34.18576,2
555,-59.62083,-34.25209,0
556,-59.73152,-34.2183,2
558,-59.57531,-34.29606,0
560,-59.65554,-34.29166,0
561,-59.60724,-34.31377,2
562,-59.61907,-34.27048,0
563,-59.70776,-34.05896,2
565,-59.72796,-34.22031,0
566,-59.71499,-34.06635,NA
568,-59.78472,-34.07833,2
569,-59.42183,-34.11076,2
570,-59.46305,-34.13432,2
571,-59.39363,-34.03199,1
572,-59.47182,-34.01795,2
573,-59.25335,-34.07762,0
574,-59.3077,-34.08314,NA
575,-59.19423,-34.04984,0
576,-59.19287,-34.05253,0
577,-59.02102,-34.15193,2
578,-59.09024,-34.11686,2
579,-59.00461,-34.14277,0
580,-59.18985,-34.01508,0
581,-59.33364,-34.30181,2
582,-59.38889,-34.27833,0
583,-59.42233,-34.22569,0
587,-59.23119,-34.22161,2
589,-59.07797,-34.27061,1
590,-59.11944,-34.24639,2
591,-59.13333,-34.29167,1
592,-61.03333,-34.46666,0
593,-61.0346,-34.35878,2
594,-61.18889,-34.35167,0
595,-61.14837,-34.38816,2
596,-61.03465,-34.35766,2
597,-61.10739,-34.35311,2
598,-61.04382,-34.43265,0
599,-61.02014,-34.42771,1
601,-60.13337,-34.74473,0
603,-60.1678,-34.7685,0
604,-60.0258,-34.69554,0
607,-61.0919,-34.4361,0
608,-61.08647,-34.41486,0
609,-61.08556,-34.41389,0
610,-61.01397,-34.53081,0
611,-61.0132,-34.52392,2
612,-61.0114,-34.56324,0
613,-61.01118,-34.56427,2
614,-61.01256,-34.56413,0
615,-61.0499,-34.58623,2
616,-61.08788,-34.55245,0
617,-61.07322,-34.60775,0
618,-61.48556,-34.51583,2
619,-60.66861,-34.41667,NA
620,-60.95541,-34.49505,NA
621,-60.95378,-34.49646,2
622,-60.9697,-34.40873,2
623,-60.94123,-34.38138,2
624,-60.78617,-34.47098,0
625,-60.77112,-34.37375,NA
626,-60.88312,-34.37641,2
627,-60.86111,-34.35778,0
628,-60.84565,-34.46062,0
629,-60.78696,-34.47279,2
630,-59.84575,-34.67946,NA
631,-60.64686,-34.36944,0
634,-60.69199,-34.36872,2
638,-60.71643,-34.45231,0
639,-60.56066,-34.37245,1
640,-60.52309,-34.44457,0
641,-60.74173,-34.46226,0
642,-60.5473,-34.38383,0
643,-60.55255,-34.38375,0
644,-60.59599,-34.46398,2
645,-60.71484,-34.57068,2
646,-60.70612,-34.52478,2
647,-60.65848,-34.51974,2
648,-60.58554,-34.6204,2
649,-60.59156,-34.62333,0
650,-60.61205,-34.57113,1
652,-60.57347,-34.5023,2
653,-60.55674,-34.53825,0
654,-60.62216,-34.51969,2
655,-60.71702,-34.61522,2
656,-60.57679,-34.56396,0
657,-60.35137,-34.37509,2
658,-60.32827,-34.38775,2
659,-60.47664,-34.38494,0
660,-60.42478,-34.43101,2
661,-60.37914,-34.48448,0
662,-60.36737,-34.47636,0
663,-60.34125,-34.47874,2
664,-60.47627,-34.49876,1
665,-60.07645,-34.48532,1
666,-60.10828,-34.49791,1
667,-60.05291,-34.44913,0
668,-60.10154,-34.40102,0
669,-60.00989,-34.42221,2
670,-60.00833,-34.42244,0
671,-60.22173,-34.40082,2
672,-69.1694,-33.78533,0
673,-60.06483,-34.38589,0
674,-60.20099,-34.46941,0
676,-69.19111,-33.87111,0
677,-60.17687,-34.35925,0
678,-60.13054,-34.42895,NA
679,-60.10333,-34.39637,0
680,-60.40234,-34.57632,2
681,-60.37013,-34.53955,2
682,-60.42801,-34.54011,1
683,-60.42366,-34.52091,2
684,-60.26713,-34.65905,2
685,-60.28778,-34.56352,0
686,-60.27278,-34.53806,1
687,-60.33655,-34.63147,2
688,-60.28544,-34.51487,2
689,-60.1489,-34.62457,0
690,-61.21991,-33.82362,0
691,-61.10637,-33.8198,2
692,-61.12639,-33.72222,2
693,-61.06936,-33.77383,0
694,-61.17182,-33.73427,0
695,-61.08481,-33.72991,0
696,-61.06702,-33.73094,0
697,-61.0375,-33.68333,2
698,-61.08729,-33.85099,2
699,-61.12892,-33.87065,0
700,-61.20866,-33.98251,2
701,-60.92127,-33.77171,0
702,-61.11921,-33.91554,2
703,-61.08539,-33.98545,2
704,-61.05844,-33.94427,1
705,-61.09003,-33.86054,2
706,-61.22182,-33.94367,2
707,-60.78352,-33.72559,2
708,-60.83071,-33.69586,0
710,-60.94306,-33.75,2
711,-60.91389,-33.76806,0
712,-59.89636,-34.4252,2
713,-59.89527,-34.42621,0
714,-60.92726,-33.77902,0
715,-60.80833,-33.75417,0
716,-60.79648,-33.81818,1
717,-60.71667,-33.68333,2
718,-60.686,-33.7712,2
719,-59.98473,-34.48812,1
720,-59.91694,-34.45132,1
722,-59.91312,-34.45193,0
723,-59.65104,-34.39306,2
724,-59.76723,-34.41501,1
725,-59.98986,-34.35654,0
726,-59.99305,-34.3583,1
727,-59.93129,-34.33712,2
728,-59.64953,-34.39301,0
729,-59.67793,-34.47029,1
730,-60.58002,-33.76638,2
731,-60.59113,-33.70781,2
732,-60.75758,-33.7697,2
733,-59.69468,-34.40973,0
734,-60.8,-33.85,0
735,-60.76667,-33.9,0
736,-60.76667,-33.95,0
737,-60.98333,-33.93333,2
738,-60.86666,-33.9,2
739,-59.69687,-34.40864,0
740,-59.57566,-34.38044,2
741,-60.96667,-33.85,2
742,-60.95,-33.86667,2
743,-60.95,-33.88333,2
744,-60.49802,-33.98254,0
745,-59.72673,-34.40264,2
746,-59.65822,-34.3494,2
747,-59.92853,-34.61677,0
748,-59.80526,-34.62157,0
749,-59.90082,-34.64389,0
750,-59.85176,-34.52668,2
751,-59.67083,-34.58258,0
752,-59.66331,-34.48799,1
753,-59.53,-34.56111,0
754,-59.61905,-34.6395,2
755,-59.69085,-34.55878,0
756,-60.55417,-33.95139,0
757,-60.55,-33.95,0
758,-60.7,-33.96667,2
759,-60.66667,-33.85,2
760,-60.65,-33.93333,2
761,-59.35503,-34.49081,2
762,-60.5515,-33.97725,0
763,-59.35306,-34.49125,0
764,-59.34502,-34.4437,2
765,-59.30128,-34.36846,2
766,-60.66667,-33.96667,2
767,-60.65,-33.9,2
768,-60.61667,-33.85,NA
769,-59.38334,-34.43333,0
770,-59.48546,-34.34254,1
771,-60.55,-33.93333,0
773,-60.55423,-33.88645,0
774,-59.47624,-34.39934,2
775,-59.47435,-34.3973,0
776,-59.35,-34.41667,0
778,-60.44704,-33.79861,0
779,-60.37049,-33.76107,0
780,-60.40697,-33.68042,2
781,-60.29418,-33.67989,2
782,-59.33679,-34.43606,2
783,-60.31881,-33.75097,2
784,-59.27354,-34.40938,0
785,-60.36888,-33.77996,0
786,-59.27255,-34.40596,2
787,-59.39978,-34.56945,0
788,-59.4905,-34.52119,0
789,-59.35678,-34.58047,0
790,-59.31741,-34.54205,2
791,-59.11652,-34.42209,0
793,-60.14568,-33.80192,0
794,-59.19042,-34.46646,2
795,-60.07487,-33.80365,0
796,-60.058,-33.73124,2
797,-60.05278,-33.68056,2
798,-60.39003,-33.90423,2
799,-60.37407,-33.98363,0
800,-60.38915,-33.95587,0
801,-60.4813,-33.98131,1
802,-60.33611,-33.89583,2
803,-59.40456,-34.61932,0
804,-59.46653,-34.61933,2
805,-60.40906,-33.90724,2
806,-60.22805,-33.93374,2
807,-60.00227,-33.93406,2
808,-60.15314,-33.88674,1
809,-60.17129,-33.83763,2
811,-60.030029999999996,-33.85014,0
812,-60.14805,-33.89067,2
813,-60.00749,-33.79089,0
814,-59.9689,-33.72805,0
