idh	idp	top	cec	ca	mg	k	na	bsum_sisinta	bsum_calculada	bsat
28627	262	23	18.5	12.1	2.4	1.8	0.6	16.9	0	91.3513513513513
28776	264	0	14.1	7.3	1.6	1.8	1.1	11.8	0	83.6879432624114
28777	264	17	13.5	6.9	2.1	1.6	1.1	11.7	0	86.6666666666667
28778	264	24	10.3	4.7	1.6	1.4	1.7	9.4	0	91.2621359223301
28641	265	0	17.1	8.8	2.1	2	0.4	13.3	2	77.7777777777778
28642	265	15	17	8.7	2.7	0.9	0.4	12.7	0	74.7058823529412
28648	269	0	19.8	9.3	3.2	2.3	0.6	15.4	0	77.7777777777778
28649	269	14	18.6	9.4	3.2	1.4	2.5	16.5	0	88.7096774193548
28654	272	0	10.4	6	2	1.2	0.4	9.6	8	92.3076923076923
28655	272	22	5.7	2.6	1.6	0.6	0.7	5.5	0	96.4912280701754
5769	285	0		5.3	4.3	1	4.6	15.2	1	
5770	285	20				5.3	18.6		0	
28658	298	0	9.7	3.2	2.7	2.1	4.2	12.2	0	100
28659	298	15	13.1	3.5	3.9	2.5	6.7	16.6	0	100
27413	300	0	22.3	13.5	1.7	2.2	0.2	17.6	0	78.9237668161435
27414	300	20	19.7	11.5	2.9	1.5	0.2	16.1	0	81.7258883248731
28480	304	0	24.3	11.9	7.5	1.6	1.3	22.3	0	91.7695473251029
28481	304	11	42	22.2	12.1	1.8	7.6	43.7	0	100
15086	314	0	17.5	7.8	4.2	1.6	1.6	15.2	0	86.8571428571429
15087	314	20	37.4			4.2	7.8		0	
19	316	0	17.7	10.7	2.3		0.1	14.3	0	80.7909604519774
20	316	18	18.4	11.7	2.5		0.1	15.1	0	82.0652173913044
33	319	0	18.1	11.5	1.9	1.4	0.1	14.9	0	82.3204419889503
34	319	19	18.5	11.2	2.7	1.1	0.1	15.1	0	81.6216216216216
40	320	0	18.6	11.2	2.1	1.8	0.1	15.2	0	81.7204301075269
41	320	17	20.3	13	2.5	1.1	0.1	16.7	13	82.2660098522167
48	321	0	15.5	5.6	2	2.5	0.1	10.2	2	65.8064516129032
49	321	12	18.6	9.1	2.3	2.1	0.1	13.6	0	73.1182795698925
56	322	0	20.5	13.4	0.8	1.8	0.2	16.2	0	79.0243902439024
57	322	20	20.3	13.8	0.8	1.6	0.1	16.3	0	80.2955665024631
65	323	0	17	6.7	2.6	1.4	4.3	15	0	88.2352941176471
66	323	15	22.2	7.5	4.2	1.9	6.2	19.8	0	89.1891891891892
71	324	0	19.9	9.1	4.7	2.3	0.6	16.7	0	83.9195979899498
72	324	20	37.5			4.3	14.4		0	
81	326	0							0	
82	326	18	19.9	11.2	2.3	1.2	0.1	14.8	0	74.3718592964824
93	329	0	16	9.6	1.6	1.9	0.4	13.5	0	84375
94	329	23	19.6	10.9	2.7	1.8	0.4	15.8	0	80.6122448979592
99	334	0	19.3	10.2	3	1.4	0.4	15	3	77.720207253886
100	334	15	21	10.7	4.1	1.3	0.5	16.6	0	79.0476190476191
106	335	0	19	11.3	2.5	2	0.4	16.2	2	85.2631578947368
112	336	0	20.4	12	2.3	1.8	0.1	16.2	12	79.4117647058824
113	336	16	22	13.6	2.7	1.4	0.1	17.8	0	80.9090909090909
114	336	24	19	12.6	1.9	1.2	0.1	15.8	0	83.1578947368421
120	337	0	16.3	7.2	1.8	1.5	1.8	12.3	0	75.4601226993865
121	337	15	23.7	7.7	5.6	2.6	7.4	23.3	0	98.3122362869198
125	338	0	21.3	11.4	5.2	1.5	0.2	18.3	0	85.9154929577465
131	339	0	19.1	10.4	2.7	1.7	0.1	14.9	0	78.0104712041885
132	339	17	19.5	11.3	2.9	1.5	0.1	15.8	0	81.025641025641
133	339	22	19.4	10.9	3.1	1.4	0.1	15.5	0	79.8969072164949
139	340	0	17.8	9.5	3.1	1.7	0.8	15.1	0	84.8314606741573
145	341	0	18.7	10.7	1.8	1.2	0.2	13.9	0	74.3315508021391
146	341	24	19.7	12.1	1.6	0.9	0.2	14.8	0	75.1269035532995
152	342	0	23.9	11.6	3.7	2.3	0.1	17.7	0	74.0585774058577
153	342	20	23.4	13	2.6	1.9	0.1	17.6	13	75.2136752136752
160	347	0	22.3	11	1.9	2.9	0.1	15.9	11	71.3004484304933
161	347	14	21.9	10.6	2.2	2.2	0.1	15.1	0	68.9497716894977
162	347	24	19.8	9.8	2.2	1.9	0.1	14	0	70.7070707070707
168	348	0	24	13	2	2.3	0.1	17.4	15	72.5
169	348	13	22.5	12.1	2	1.7	0.1	15.9	2	70.6666666666667
175	349	0							0	
176	349	13	19.1	11.4	2	1.8	0.1	15.3	2	80.1047120418848
177	349	22	22	13.8	2.6	1.2	0.3	17.9	0	81.3636363636364
182	350	0							0	
183	350	13	21.5	12.4	1.9	2.4	0.1	16.8	0	78.1395348837209
184	350	15	19	10.5	2.9	1.9	0.1	15.4	0	81.0526315789474
191	351	0	19.2	9.3	2.3	1.7	0.7	14	0	72.9166666666667
192	351	20	20.1	9.9	5.3	1.8	0.8	17.8	0	88.5572139303483
197	352	0	17.1			3.8	9		9	
201	353	0	13.3	6.2	1.9	2	1.2	11.3	2	84.9624060150376
202	353	14	17.5	7.6	3.3	2.1	4.5	17.5	0	100
206	354	0							0	
207	354	5	29.6			3.5	8.7		0	
211	355	0	17.3	8.9	2.5	1.6	0.4	13.4	0	77.4566473988439
217	356	0	16.4	6.7	2.7	1.5	3.7	14.6	0	89.0243902439024
218	356	18	20.1			2.9	11		11	
221	357	0	31.1	13.6	3.9	3.2	0.5	21.2	0	68.1672025723473
222	357	23	21.6	10.6	2.9	2.9	0.3	16.7	0	77.3148148148148
228	358	0	22.9	13.1	3	1.9	1	19	4	82.9694323144105
229	358	14	24	13.5	3	1.6	0.9	19	3	79.1666666666667
230	358	20	26.7	15.5	4	1.5	1.1	22.1	4	82.7715355805244
235	359	0	23.4	13	2.9	1.8	0.1	17.8	13	76.0683760683761
236	359	23	34.9	22.4	6.9	3.2	0.1	32.6	0	93.4097421203439
239	360	0	13.8			1.1	7.2		0	
240	360	18	29.8			3.9	21.1		0	
244	361	0							0	
245	361	4	32.8			3.5	16		16	
248	362	0	39.4	18.8	5.3	3.5	9.4	27	0	93.9086294416244
249	362	7	34.7	10.8	4.3	2.9	12.2	30.2	0	
250	362	17	35			3.2	15.4		0	
252	363	0	22.9			2.6	14.2		0	
253	363	16	18.2			1.4	9.9		0	
258	364	0	24.9	12	3.6	2.9	0.5	19	12	76.3052208835341
259	364	14	20.1	10.3	3.9	2.6	0.7	17.5	0	87.0646766169154
263	365	0	21.6	13.6	2.3	1	0.1	17	1	78.7037037037037
270	366	0							0	
271	366	6	20.2			3.6	11.7		0	
272	366	14	18			3	13.1		3	
273	366	23	34.2			4.4	19.9		0	
276	367	0	11.2	6.3	1.4	0.5	1.3	9.5	0	84.8214285714286
277	367	20	15.6	8.2	1.9	1.1	0.4	11.6	0	74.3589743589744
281	368	0	18.8	11.1	2.4	1.2	0.2	14.9	0	79.2553191489362
282	368	12	18.9	11.3	2.3	1.2	0.1	14.9	0	78.8359788359788
283	368	24	18.2	11.1	2.2	1.2	0.1	14.6	0	80.2197802197802
