idh,idp,top,cec,ca,mg,k,na,bsum_sisinta,bsum_calculada,bsat,bsum_diff
9667,2137,0,10.5,7.3,2.5,0.72,0.2,NA,10.72,NA,NA
9668,2137,17,10.5,7.4,1.8,0.59,0.4,NA,10.190000000000001,NA,NA
9672,2138,0,NA,NA,NA,NA,NA,NA,0,NA,NA
9673,2138,22,NA,NA,NA,NA,NA,NA,0,NA,NA
9677,2139,0,10.8,7.3,2.2,0.3,0.2,NA,10,NA,NA
9678,2139,20,12.9,8.3,3,0.64,0.2,NA,12.14,NA,NA
9680,2140,0,28.5,17.6,6.2,0.7,0.7,NA,25.200000000000003,NA,NA
9685,2141,0,6.32,0.6,0.6,0.07,0.05,1.32,1.32,2.64,0
9686,2141,12,7.94,1.2,0.6,0.06,0.08,1.94,1.94,3.74,0
9688,2142,0,24.5,13.4,2.1,2.8,0.3,18.6,18.6,76,0
9713,2143,0,NA,1.8,1.5,0.09,0.3,3.69,3.69,NA,0
9714,2143,9,NA,1.1,1,0.065,0.1,2.31,2.265,NA,0.04499999999999993
9717,2144,0,11,5.4,4,0.19,0.6,NA,10.19,NA,NA
9718,2144,14,10.3,7.2,2.2,0.14,0.6,NA,10.14,NA,NA
9722,2145,0,12.1,13.6,1.4,1.21,0.3,NA,16.509999999999998,NA,NA
9723,2145,20,14.7,13.2,2.8,0.87,0.3,NA,17.169999999999998,NA,NA
9727,2146,0,12.1,6.4,2,1.2,0.2,9.8,9.8,81,0
9728,2146,14,10,5,1.7,1.1,0.1,7.9,7.9,79,0
9732,2147,0,13.9,10.4,3,0.61,0.2,14.21,14.21,100,0
9733,2147,10,13.5,9.6,3.6,0.32,0.1,13.62,13.62,100,0
9734,2147,24,15.4,12.7,2,0.23,0.2,15.13,15.129999999999999,98,1.7763568394002505e-15
9738,2148,0,19.02,12.6,4,2.22,0.2,NA,19.02,NA,NA
9739,2148,20,17.74,13,3,1.44,0.3,NA,17.74,NA,NA
9743,2149,0,9.5,6,3.1,0.73,3.3,NA,13.129999999999999,NA,NA
9744,2149,24,13.7,NA,NA,0.52,8,NA,8.52,NA,NA
9747,2150,0,5.9,48,23,0.74,1.2,NA,72.94,NA,NA
9750,2151,0,11,4.94,0.43,0.1,0.06,5.54,5.53,NA,0.009999999999999787
9751,2151,17,10.6,4.5,0.2,0.08,0.1,4.9,4.88,NA,0.020000000000000462
9755,2152,0,NA,0.9,0.2,0.06,0.05,1.22,1.21,NA,0.010000000000000009
9756,2152,22,NA,0.5,0.3,0.05,0.05,0.9,0.9,NA,0
9759,2153,0,25.5,NA,NA,0.8,1.3,NA,2.1,NA,NA
9760,2153,11,24.4,NA,NA,0.36,1.4,NA,1.7599999999999998,NA,NA
9763,2154,0,22.6,NA,NA,1.21,1.1,NA,2.31,NA,NA
9764,2154,16,23.9,NA,NA,1,1,NA,2,NA,NA
9768,2155,0,21.8,13.4,2.3,2.9,0.5,19.1,19.1,88,0
9773,2156,0,10.7,NA,NA,1,0.5,NA,1.5,NA,NA
9778,2158,0,13.2,NA,NA,0.82,1.9,NA,2.7199999999999998,NA,NA
9780,2159,0,10.51,NA,NA,0.33,0.51,NA,0.8400000000000001,NA,NA
9781,2159,20,9.23,NA,NA,0.21,0.85,NA,1.06,NA,NA
9783,2160,0,17.4,7.6,2.7,2.5,0.4,13.2,13.2,76,0
9784,2160,14,16.8,7.9,2.6,2.8,0.4,13.7,13.700000000000001,81,-1.7763568394002505e-15
9785,2160,22,24.8,NA,NA,2.7,2.3,NA,5,NA,NA
9789,2161,0,NA,NA,NA,3.4,1.8,NA,5.2,9.5,NA
9809,2162,0,25.2,10.6,2.7,1.8,0.3,15.4,15.4,61,0
9810,2162,16,10.4,6.5,1.1,1.6,0.1,9.3,9.3,90,0
9796,2167,0,1.6,0.4,0.3,0.17,0.2,1.07,1.07,62,0
9795,2167,18,1.4,0.4,0.2,0.11,0.3,1.01,1.01,72,0
9797,2168,0,13.2,6.24,0.62,0.11,0.2,7.17,7.17,54.3,0
9798,2168,14,13.1,6.82,0.38,0.09,0.24,7.53,7.53,57.5,0
9799,2168,24,21.97,14.6,1.5,0.11,0.53,16.74,16.74,76.2,0
9804,2174,0,5.89,0.75,0.15,0.11,0.08,0.99,1.09,16.81,-0.10000000000000009
9805,2174,18,4.879,0.35,0.075,0.07,0.059,0.554,0.5539999999999999,11.33,1.1102230246251565e-16
9815,2175,0,5.5,2.2,0.9,0.09,0.6,3.79,3.79,68,0
9816,2175,15,4.9,2.8,0.6,0.06,0.5,3.96,3.96,80,0
9821,2177,0,10.38,5.6,2.2,0.09,0.16,8.05,8.05,77.55,0
9822,2177,15,9.41,5.2,1.4,0.04,0.16,6.8,6.8,72.26,0
9836,2178,0,29.8,20.4,2.2,3.97,0.57,NA,27.14,NA,NA
9837,2178,12,23.7,NA,NA,2.89,1.45,NA,4.34,NA,NA
9826,2186,0,NA,10,1.6,1.2,0.6,NA,13.4,NA,NA
9827,2186,20,NA,NA,NA,1.13,0.8,NA,1.93,NA,NA
9829,2188,0,NA,10.2,2.3,2.47,0.5,NA,15.469999999999999,NA,NA
9830,2188,24,NA,12.8,3.6,1.39,0.8,NA,18.59,NA,NA
9850,2189,0,17,12.1,2.7,0.72,0.5,NA,16.02,NA,NA
9851,2189,18,21,14.7,4.6,0.3,0.7,NA,20.299999999999997,NA,NA
9844,2190,0,NA,8,1.9,1.55,0.7,NA,12.15,NA,NA
9847,2191,0,NA,NA,NA,2.25,2.47,NA,4.720000000000001,NA,NA
9848,2191,23,NA,NA,NA,1.87,5.15,NA,7.0200000000000005,NA,NA
9932,2192,0,18,11.4,2.1,2.1,1.5,NA,17.1,NA,NA
9933,2192,15,15.8,12.1,2.4,1.15,0.9,NA,16.55,NA,NA
9854,2193,0,50.9,37.8,3.3,0.91,3,45,45.01,NA,-0.00999999999999801
9855,2193,4,39.1,28.8,2.4,0.48,2.15,33.83,33.83,NA,0
9856,2193,11,48.6,40.5,2.6,0.31,4.62,48,48.03,NA,-0.030000000000001137
9860,2195,0,5.31,2.6,0.76,0.11,0.13,3.6,3.6,67.9,0
9861,2195,19,5.13,2.45,0.75,0.09,0.12,3.41,3.41,66.47,0
9869,2196,0,NA,9.43,1.1,1.35,0.33,NA,12.209999999999999,NA,NA
9870,2196,20,NA,11.6,1.72,1.55,0.43,NA,15.299999999999999,NA,NA
9865,2198,0,21.7,4,2.6,0.1,0.21,6.91,6.91,NA,0
9866,2198,17,28.6,5.2,3.2,0.12,0.27,8.79,8.790000000000001,NA,-1.7763568394002505e-15
9881,2199,0,NA,9.5,4.5,1.62,4.2,NA,19.82,NA,NA
9882,2199,24,NA,13.2,5.6,1.62,9.3,NA,29.72,NA,NA
9872,2200,0,3.9,0.5,1.1,0.13,0.5,2.23,2.23,57,0
9873,2200,22,2.7,1,1,0.03,0.5,2.53,2.53,93,0
9886,2201,0,3.6,2.1,0.7,0.12,0.2,3.12,3.12,86,0
9887,2201,21,2.9,1.4,1.4,0.05,0.3,3.15,3.15,100,0
10106,2203,0,11.5,7.5,2.1,1.19,0.5,NA,11.29,NA,NA
9894,2204,0,17.4,9.7,1.1,0.16,0.11,11.07,11.069999999999999,63.7,1.7763568394002505e-15
9895,2204,12,18.3,10.99,0.96,0.12,0.14,12.2,12.21,66.6,-0.010000000000001563
9896,2204,23,20.2,12.72,1.39,0.14,0.21,14.5,14.46,71.8,0.03999999999999915
9902,2205,0,16.5,14.9,2.5,1.15,1.4,NA,19.95,NA,NA
9909,2209,0,9.2,7.7,3.5,0.53,0.44,NA,12.17,NA,NA
9910,2209,23,6.5,NA,NA,0.73,0.433,NA,1.163,NA,NA
9903,2210,0,12.9,8,2.1,1.49,0.7,NA,12.29,NA,NA
9912,2211,0,18.83,8.8,1.73,1.38,0.23,NA,12.14,NA,NA
9913,2211,20,12.39,10.6,1.43,1.38,0.28,NA,13.69,NA,NA
10313,2212,0,17.9,8.7,2.2,2.5,0.3,13.7,13.7,NA,0
10314,2212,24,14.2,7.8,2.3,1.6,0.8,12.5,12.5,NA,0
10078,2213,0,18.8,NA,NA,1.94,NA,NA,1.94,NA,NA
10079,2213,13,14.8,NA,NA,1.46,NA,NA,1.46,NA,NA
10101,2214,0,12.7,7.1,3.6,1.39,0.6,NA,12.69,NA,NA
10102,2214,10,15,9.6,3.6,1.01,0.8,NA,15.01,NA,NA
9936,2215,0,21,14.7,2.4,2.44,0.7,NA,20.24,NA,NA
9937,2215,19,19.5,14.1,2.3,2.17,0.7,NA,19.27,NA,NA
9915,2216,0,21.6,19.3,5.3,2.18,2.4,NA,29.18,NA,NA
9916,2216,20,19.8,NA,NA,2.42,3.7,NA,6.12,NA,NA
9918,2217,0,20.9,NA,NA,1.54,0.6,NA,2.14,NA,NA
9921,2218,0,23.4,14.5,4.5,2.43,1.4,NA,22.83,NA,NA
9922,2218,15,23.6,17.1,4.2,2.02,1.4,NA,24.720000000000002,NA,NA
9926,2219,0,9.6,7,2.1,0.6,0.32,NA,10.02,NA,NA
9929,2220,0,20.4,12.5,4,1.44,0.7,NA,18.64,NA,NA
9962,2221,0,NA,9.9,4.3,1.83,0.6,NA,16.63,NA,NA
9946,2225,0,13.7,NA,NA,2.06,1.5,NA,3.56,NA,NA
9947,2225,18,13.1,NA,NA,1.55,1.8,NA,3.35,NA,NA
9941,2226,0,46.1,32.7,4.6,0.4,4.83,42.5,42.53,NA,-0.030000000000001137
9942,2226,13,45.1,34.3,3.5,0.31,6.17,44.3,44.279999999999994,NA,0.020000000000003126
9951,2227,0,13.1,9.7,2.5,0.77,0.3,NA,13.27,NA,NA
9952,2227,24,13.4,NA,NA,0.28,0.4,NA,0.68,NA,NA
9956,2228,0,10.7,8.4,3.4,0.68,2,NA,14.48,NA,NA
9957,2228,17,9.1,NA,NA,0.36,3.3,NA,3.6599999999999997,NA,NA
9963,2229,0,19.6,12.6,4,2.22,0.2,NA,19.02,NA,NA
9964,2229,15,18.1,13,3,1.94,0.3,NA,18.24,NA,NA
9971,2230,0,12.6,NA,NA,0.67,0.5,NA,1.17,NA,NA
9972,2230,15,12.6,NA,NA,0.36,0.4,NA,0.76,NA,NA
9976,2231,0,20.1,NA,NA,1.22,1.7,NA,2.92,NA,NA
9981,2232,0,NA,10.7,5.7,1.34,1.3,NA,19.04,NA,NA
9982,2232,15,NA,16.7,9.2,1.44,2.1,NA,29.439999999999998,NA,NA
9984,2233,0,20.04,14.96,2.62,0.59,0.31,NA,18.48,NA,NA
9985,2233,18,20.29,17.01,2.13,0.4,0.38,NA,19.92,NA,NA
9989,2234,0,10,NA,NA,0.41,0.4,NA,0.81,NA,NA
9990,2234,16,8,NA,NA,0.16,0.3,NA,0.45999999999999996,NA,NA
9994,2235,0,24.7,NA,NA,2.07,1.1,NA,3.17,NA,NA
9998,2236,0,28.3,20.6,4.8,0.57,0.9,NA,26.87,NA,NA
10012,2237,0,22.4,17,3.6,1.65,0.9,NA,23.15,NA,NA
10001,2238,0,11.5,NA,NA,0.7,0.6,NA,1.2999999999999998,NA,NA
10005,2239,0,12.2,NA,NA,0.62,0.8,NA,1.42,NA,NA
10006,2239,20,13.5,NA,NA,0.23,0.9,NA,1.1300000000000001,NA,NA
10008,2240,0,11.1,NA,NA,0.67,0.8,NA,1.4700000000000002,NA,NA
10015,2241,0,12.2,NA,NA,0.37,0.1,NA,0.47,NA,NA
10017,2242,0,16.1,NA,NA,1.03,0.6,NA,1.63,NA,NA
10018,2242,19,20.3,NA,NA,0.67,1,NA,1.67,NA,NA
10034,2243,0,4.2,NA,NA,0.9,0.6,NA,1.5,NA,NA
10021,2244,0,NA,NA,NA,NA,NA,NA,0,NA,NA
10022,2244,18,NA,NA,NA,NA,NA,NA,0,NA,NA
10026,2245,0,11.1,NA,NA,0.67,0.8,NA,1.4700000000000002,NA,NA
10030,2246,0,18.8,NA,NA,1.77,0.5,NA,2.27,NA,NA
10041,2247,0,21.9,16.2,3.7,1.75,0.7,NA,22.349999999999998,NA,NA
10042,2247,13,26.6,20.4,4.9,1.7,1,NA,28,NA,NA
10037,2248,0,13.5,NA,NA,0.21,1.4,NA,1.6099999999999999,NA,NA
10038,2248,23,12.6,NA,NA,0.62,1.3,NA,1.92,NA,NA
10044,2249,0,5,1.6,0.7,NA,2.99,12.3,5.29,89,7.010000000000001
10065,2250,0,14.75,11.1,1.66,2.06,0.5,NA,15.32,NA,NA
10066,2250,18,15.6,13.58,2.46,2.52,0.31,NA,18.87,NA,NA
10047,2251,0,12.2,9.2,1.5,0.92,0.6,NA,12.219999999999999,NA,NA
10048,2251,13,13.2,NA,NA,1.13,0.6,NA,1.73,NA,NA
10051,2252,0,10.8,NA,NA,0.36,1,NA,1.3599999999999999,NA,NA
10052,2252,18,14.2,NA,NA,1.13,0.9,NA,2.03,NA,NA
10057,2253,0,21.1,NA,NA,0.62,1.3,NA,1.92,NA,NA
10058,2253,23,21.9,NA,NA,0.26,2,NA,2.26,NA,NA
10061,2254,0,21.6,NA,NA,0.82,1,NA,1.8199999999999998,NA,NA
10062,2254,16,23.5,NA,NA,1.91,1.2,NA,3.11,NA,NA
10068,2255,0,17.8,NA,NA,0.82,1.1,NA,1.92,NA,NA
10073,2256,0,20.9,NA,NA,1.55,1.6,NA,3.1500000000000004,NA,NA
10074,2256,20,20.3,NA,NA,3.33,3.6,NA,6.93,NA,NA
10076,2257,0,12.5,NA,NA,0.4,0.5,NA,0.9,NA,NA
10081,2258,0,NA,11.6,0.6,1.33,0.36,NA,13.89,NA,NA
10084,2259,0,6.4,3.2,0.9,0.17,0.3,4.57,4.57,71,0
10085,2259,20,25.5,17.8,3.3,0.17,1.3,22.57,22.57,88,0
10089,2260,0,14.5,3.5,1,0.21,0.5,5.21,5.21,35,0
10090,2260,9,12.1,1.3,1.2,0.21,0.5,3.21,3.21,26,0
10091,2260,24,13.7,1,0.8,0.13,0.5,2.43,2.43,17,0
10095,2261,0,6.1,0.7,0.2,0.1,0.5,1.5,1.5,24,0
10096,2261,13,5.2,0.3,0.1,0.05,0.4,0.85,0.85,16,0
10109,2262,0,NA,1.6,0.8,0.29,0.2,NA,2.89,NA,NA
10110,2262,12,NA,1.5,0.4,0.25,0.2,NA,2.35,NA,NA
10280,2263,0,15.8,11.5,1.8,1.75,0.9,15.9,15.95,100,-0.049999999999998934
10281,2263,20,13,NA,NA,1.13,0.6,NA,1.73,NA,NA
10112,2264,0,9,1.5,0.2,0.15,0.5,2.35,2.35,26,0
10113,2264,10,5,0.8,0.2,0.08,0.5,1.58,1.58,31,0
10114,2264,20,5.2,0.6,0.2,0.08,0.4,1.28,1.28,24,0
10117,2265,0,NA,7.8,4.4,1.25,2.1,NA,15.55,NA,NA
10118,2265,18,NA,4.9,3.1,1.14,1.5,NA,10.64,NA,NA
10120,2266,0,NA,NA,NA,1.99,2.9,NA,4.89,NA,NA
10123,2267,0,31,NA,NA,1.26,1.3,NA,2.56,NA,NA
10124,2267,21,26.7,NA,NA,1.16,0.9,NA,2.06,NA,NA
10127,2268,0,20.2,13.8,2.4,2.62,0.4,NA,19.220000000000002,NA,NA
10128,2268,16,18.6,13.2,3.2,1.96,0.4,NA,18.759999999999998,NA,NA
10132,2269,0,7.6,5.7,0.7,0.71,0.5,NA,7.61,NA,NA
10133,2269,18,10.8,7.6,1.6,0.84,0.8,NA,10.84,NA,NA
10136,2270,0,23.8,16.8,3.8,2.3,1.5,NA,24.4,NA,NA
10137,2270,22,22.6,16.5,4.3,2.31,1.5,NA,24.61,NA,NA
10140,2271,0,25.9,21.9,3.8,3.21,0.7,NA,29.61,NA,NA
10142,2272,0,NA,17.3,3,2.14,0.9,NA,23.34,NA,NA
10146,2273,0,NA,12.6,1.6,2.5,0.5,NA,17.2,NA,NA
10150,2274,0,NA,7.8,2.4,1.19,0.3,NA,11.69,NA,NA
10151,2274,14,NA,6.7,1.4,0.82,0.3,NA,9.22,NA,NA
10158,2275,0,NA,24.3,6.3,4.5,1,NA,36.1,NA,NA
10159,2276,0,NA,15.7,4.2,2.02,0.8,NA,22.72,NA,NA
10160,2276,12,NA,NA,NA,1.01,1.6,NA,2.6100000000000003,NA,NA
10163,2277,0,NA,23.4,4.5,3.91,0.8,NA,32.61,NA,NA
10167,2278,0,3,1.4,1.1,0.16,0.3,NA,2.96,NA,NA
10170,2279,0,23.4,14.5,4.5,2.43,1.4,NA,22.83,NA,NA
10171,2279,15,23.6,17.1,4.2,2.02,1.4,NA,24.720000000000002,NA,NA
10175,2280,0,10.5,7.76,1.64,0.95,0.42,NA,10.77,NA,NA
10176,2280,20,15.2,12.4,0.8,0.95,0.45,NA,14.6,NA,NA
10178,2281,0,13.79,9.09,1.24,2.6,0.2,NA,13.13,NA,NA
10181,2282,0,1.4,5.4,1.3,0.8,0.5,NA,8,NA,NA
10182,2282,14,1.2,5.8,1.3,0.9,0.5,NA,8.5,NA,NA
10183,2283,0,NA,13.2,4.9,2.06,0.4,20.5,20.56,100,-0.05999999999999872
10187,2284,0,24.2,14,5,2.93,1.6,NA,23.53,NA,NA
10188,2284,12,23.8,13.1,4.2,1.65,1.6,NA,20.55,NA,NA
10189,2284,24,19.8,13.4,3.9,1.65,1.2,NA,20.15,NA,NA
10192,2285,0,19.1,12.9,4.2,1.28,1.55,NA,19.93,NA,NA
10193,2285,10,28.1,NA,NA,2.18,5.3,NA,7.48,NA,NA
10197,2286,0,35.3,NA,NA,1.32,1.46,NA,2.7800000000000002,NA,NA
10198,2286,10,26.3,NA,NA,1.36,1.77,NA,3.13,NA,NA
10200,2287,0,16.9,NA,NA,1.19,1.1,NA,2.29,NA,NA
10203,2288,0,8.7,6.9,1.2,0.94,0.2,NA,9.24,NA,NA
10204,2288,23,9.6,8.3,1.2,0.6,0.4,NA,10.5,NA,NA
10207,2289,0,NA,20.1,8.4,2.32,1.1,NA,31.92,NA,NA
10208,2289,10,NA,21.5,7.9,2.54,1.1,NA,33.04,NA,NA
10211,2290,0,21.9,19.2,2.2,1.44,0.36,NA,23.2,NA,NA
10214,2291,0,24.2,NA,NA,3.12,2.2,NA,5.32,NA,NA
10215,2291,13,30.9,NA,NA,3.08,14.6,NA,17.68,NA,NA
10219,2292,0,23.7,11.8,1.6,2.3,0.3,NA,16,NA,NA
10222,2293,0,4.1,NA,NA,1.2,0.9,NA,2.1,NA,NA
10223,2293,20,7.5,NA,NA,1.1,1.3,NA,2.4000000000000004,NA,NA
10225,2294,0,19.9,13.4,1.7,2.43,0.33,NA,17.86,NA,NA
10226,2294,23,15,13.1,0.9,1.54,0.35,NA,15.89,NA,NA
10228,2295,0,22.9,NA,NA,2.78,0.2,NA,2.98,NA,NA
10229,2295,22,19.8,13.1,4.7,2.47,0.5,NA,20.77,NA,NA
10232,2296,0,22.4,NA,NA,1.43,2.4,NA,3.83,NA,NA
10235,2297,0,87,7.2,4.7,2,0.6,NA,14.5,NA,NA
10236,2297,24,27,NA,NA,3.47,2.66,NA,6.130000000000001,NA,NA
10238,2298,0,21.7,15.4,1.9,1.93,0.4,NA,19.63,NA,NA
10241,2299,0,12.2,8.7,2.4,1.55,0.5,NA,13.149999999999999,NA,NA
10244,2300,0,NA,11.3,5.5,1.25,7.2,NA,25.25,NA,NA
10248,2301,0,19.4,12.5,3.8,1.24,0.5,NA,18.04,NA,NA
10257,2302,0,17,NA,NA,0.93,1,NA,1.9300000000000002,NA,NA
10261,2302,8,11.8,NA,NA,0.26,1.2,NA,1.46,NA,NA
10252,2303,0,23.8,15.7,4.3,2.31,2,NA,24.31,NA,NA
10253,2303,20,14.3,NA,NA,1.98,1.4,NA,3.38,NA,NA
10264,2305,0,18.4,8.3,3.2,2.17,0.5,NA,14.170000000000002,NA,NA
10265,2305,24,15,9.4,2.8,1.26,0.6,NA,14.06,NA,NA
10269,2306,0,16.8,13.2,2.4,2.1,0.4,NA,18.099999999999998,NA,NA
10270,2306,20,14.8,11.4,3,1.18,0.4,NA,15.98,NA,NA
10273,2307,0,7.6,NA,NA,1.68,0.6,NA,2.28,NA,NA
10276,2308,0,16.3,NA,NA,3.29,11.6,NA,14.89,NA,NA
10277,2308,17,14.9,NA,NA,2.84,12.9,NA,15.74,NA,NA
10283,2309,0,22.4,13.1,3.4,2.8,1.6,NA,20.9,NA,NA
10284,2309,10,21.8,13.1,3.7,2.43,1.5,NA,20.73,NA,NA
10288,2310,0,18.8,10.7,2.6,2.76,1.7,NA,17.759999999999998,NA,NA
10289,2310,18,18,12,3.1,2.72,1.7,NA,19.52,NA,NA
10293,2311,0,14.8,10.2,2.5,1.96,0.4,15,15.059999999999999,15,-0.05999999999999872
10297,2312,0,14.8,10.9,1.8,1.8,10.9,NA,25.400000000000002,NA,NA
10298,2312,5,15.4,9.6,3.7,3.7,9.6,NA,26.6,NA,NA
10303,2314,0,NA,5.2,1.2,0.76,0.5,NA,7.66,NA,NA
10304,2314,8,NA,5.5,1.2,0.8,0.5,NA,8,NA,NA
10307,2315,0,9.2,4,1.1,0.22,0.2,5.52,5.5200000000000005,60,-8.881784197001252e-16
10308,2315,17,6.9,3.1,1.2,0.09,0.3,4.69,4.69,67,0
10318,2316,0,24.2,14.3,3.1,2.6,0.2,20.2,20.2,83,0
10319,2316,16,23.9,13.8,2.6,2.6,0.2,19.4,19.2,81,0.1999999999999993
10320,2316,24,21,13.9,2.3,2.1,0.07,18.4,18.37,88,0.029999999999997584
10324,2317,0,NA,NA,NA,NA,NA,NA,0,NA,NA
10325,2317,12,NA,NA,NA,NA,NA,NA,0,NA,NA
10327,2317,24,NA,NA,NA,NA,NA,NA,0,NA,NA
10334,2319,0,16.2,NA,NA,1.39,1.1,NA,2.49,NA,NA
10338,2320,0,24.7,NA,NA,2.07,1.1,NA,3.17,NA,NA
10341,2321,0,19.6,NA,NA,1.77,0.7,NA,2.4699999999999998,NA,NA
10344,2322,0,14.4,NA,NA,1.73,1.2,NA,2.9299999999999997,NA,NA
10348,2323,0,21.1,NA,NA,0.62,1.3,NA,1.92,NA,NA
10352,2325,0,5.7,2.6,1.6,0.1,0.4,4.7,4.7,82,0
10353,2325,16,7.6,3.8,0.7,0.03,1.9,6.43,6.43,84,0
10358,2326,0,8.09,4.2,1.65,0.09,0.15,6.09,6.09,72.27,0
10359,2326,22,13.495,9.65,1.65,0.125,0.24,11.665,11.665000000000001,86.44,-1.7763568394002505e-15
10361,2327,0,11.94,2.2,1.4,0.31,0.83,4.74,4.74,NA,0
10362,2327,10,9.4,3.2,1.4,0.1,2.7,7.4,7.4,NA,0
10363,2327,20,27.9,12.6,3.2,0.1,8,23.9,23.9,NA,0
10366,2328,0,7.5,2.8,1,0.11,0.2,4.11,4.109999999999999,54,8.881784197001252e-16
10367,2328,23,8.8,3.6,0.3,0.09,0.2,4.29,4.19,48,0.09999999999999964
10370,2329,0,NA,NA,NA,NA,NA,NA,0,NA,NA
10371,2329,16,NA,NA,NA,NA,NA,NA,0,NA,NA
10374,2330,0,14.8,8,3.5,2.4,2.3,16.2,16.2,100,0
10375,2330,23,8,4.2,4.3,1.4,1.6,11.5,11.5,100,0
10378,2331,0,8.4,0.5,0.3,0.08,0.4,1.28,1.28,15,0
10379,2331,17,5.25,0.55,0.35,0.03,0.4,1.33,1.33,25.5,0
10387,2332,0,5.02,1.6,0.2,0.13,0.09,2.02,2.02,40.24,0
10386,2332,21,4.833,2.05,0.2,0.043,0.1,2.393,2.393,49.5,0
10395,2333,0,17.1,2.1,0.2,0.32,0.3,2.92,2.92,17,0
10388,2333,15,8,0.1,0.1,0.07,0.2,0.27,0.47000000000000003,3,-0.2
10396,2334,0,4.15,1.4,0.2,0.03,0.06,1.69,1.69,40.72,0
10398,2334,14,4.79,2.15,0.65,0.02,0.07,2.79,2.89,58.25,-0.10000000000000009
10401,2335,0,3.1,2.1,0.7,0.36,1.2,4.36,4.36,100,0
10402,2335,7,4.3,0,0,0.84,1.4,2.24,2.2399999999999998,52,4.440892098500626e-16
10412,2336,0,8.06,5.8,0.5,0.06,0.3,6.66,6.66,77,0
10411,2336,18,11.5,9.7,0.6,0.04,0.3,10.64,10.639999999999999,92,1.7763568394002505e-15
10413,2337,0,10.1,4.8,0.9,0.19,0.7,6.59,6.59,65,0
10414,2337,10,8.75,4.05,1.3,0.185,0.4,5.935,5.935,67.5,0
10418,2338,0,21.7,16.6,1.1,2.5,0.2,20.4,20.400000000000002,NA,-3.552713678800501e-15
10419,2338,14,21,15.9,0.8,2.7,0.2,19.6,19.6,NA,0
10429,2339,0,7.4,3.6,0.4,0.26,0.5,4.76,4.76,64,0
10428,2339,14,5.8,3.8,0.9,0.1,0.7,5.5,5.5,94,0
10430,2340,0,1.5,0.8,0.5,0.16,0.5,1.96,1.96,100,0
10431,2340,20,1.4,0.6,0.4,0.11,0.4,1.51,1.51,100,0
10441,2341,0,5.3,2.5,0.4,0.39,0.4,3.69,3.69,79,0
10440,2341,13,3.5,2.6,0.6,0.18,0.4,3.78,3.7800000000000002,100,-4.440892098500626e-16
10447,2342,0,6.9,4.3,1.5,0.18,0.4,6.38,6.38,92,0
10446,2342,17,8.1,5.3,2,0.13,0.4,7.83,7.83,96,0
10448,2343,0,5.1,3.5,0.4,0.33,0.5,4.73,4.73,92,0
10449,2343,5,15.3,10,1.9,0.22,3.4,15.5,15.52,100,-0.019999999999999574
10450,2343,21,22.2,12.3,2,0.36,7.9,22.56,22.560000000000002,100,-3.552713678800501e-15
10453,2344,0,7.5,2.6,1.4,0.4,0.6,5,5,66,0
10454,2344,16,6.5,3.8,1.9,0.2,0.6,6.5,6.5,100,0
10627,2345,0,NA,NA,NA,NA,NA,NA,0,NA,NA
10459,2346,0,12.1,7,2.4,0.3,0.1,9.7,9.8,80,-0.10000000000000142
10460,2346,17,13.4,8.8,2.6,0.1,0.1,11.5,11.600000000000001,86,-0.10000000000000142
10466,2347,0,1.4,0.9,0.3,0.24,0.6,2.04,2.04,100,0
10471,2347,13,1.2,0.1,0.1,0.16,0.3,0.46,0.66,38,-0.2
10473,2348,0,2.9,0.9,0.3,0.09,0.4,1.69,1.69,58,0
10474,2348,14,1.4,1.2,0.2,0.05,0.6,2.05,2.05,100,0
10484,2349,0,15.4,8.9,2.2,0.4,0.2,11.7,11.700000000000001,76,-1.7763568394002505e-15
10483,2349,14,22.8,13.9,2.5,0.3,0.2,16.9,16.9,74,0
10485,2350,0,26.9,NA,NA,0.3,0.2,NA,0.5,NA,NA
10486,2350,17,32.1,NA,NA,0.2,0.2,NA,0.4,NA,NA
10489,2351,0,3,1,0.3,0.1,0.4,1.8,1.8,60,0
10490,2351,24,3.5,1.2,0.4,0.1,0.4,2.1,2.1,60,0
10495,2352,0,3.8,1.4,0.8,0.2,0.4,2.8,2.8,74,0
10496,2352,15,2.2,0.4,NA,0.1,0.4,0.9,0.9,41,0
10501,2353,0,12.53,5.1,1.7,0.21,0.11,7.12,7.119999999999999,12.53,8.881784197001252e-16
10500,2353,12,9.68,5.15,1.69,0.1,0.1,7.04,7.04,9.68,0
10499,2353,21,9.45,5.15,1.45,0.12,0.12,6.84,6.84,9.45,0
10502,2354,0,4.5,2.8,0.6,0.1,0.1,3.6,3.5999999999999996,80,4.440892098500626e-16
10503,2354,15,4.7,2.9,0.6,0.1,0.1,3.7,3.6999999999999997,79,4.440892098500626e-16
10508,2355,0,1.6,0.1,0.1,0.04,0.1,0.14,0.34,8,-0.2
10509,2355,18,1.2,0.1,0.1,0.03,0.1,0.13,0.33,10,-0.2
10514,2356,0,1.5,0.7,0.5,0.04,0.3,15.4,1.54,100,13.86
10515,2356,17,2.2,1.4,0.3,0.09,0.5,2.29,2.29,100,0
10524,2357,0,1.1,0.1,0.1,0.14,0.4,0.54,0.74,49,-0.19999999999999996
10523,2357,19,0.8,0.1,0.1,0.22,0.4,0.62,0.8200000000000001,77,-0.20000000000000007
