idh,idp,top,cec,ca,mg,k,na,bsum_sisinta,bsum_calculada,bsat,bsum_diff
2371,705,0,24.4,13.4,3.3,3,0.5,20.2,20.2,83,0
2372,705,13,24.6,15.4,4,2.3,0.2,21.9,21.9,89,0
2379,706,0,23.8,12.4,4.3,2.6,0.6,19.9,19.9,84,0
2380,706,18,21.9,12.8,3.1,2.4,0.6,18.9,18.900000000000002,86,-3.552713678800501e-15
2386,707,0,27,14.3,7.4,2.3,0.3,24.3,24.3,91,0
2387,707,14,20.2,11.7,5.1,1.2,0.2,18.2,18.2,90,0
2393,708,0,25.3,16.7,4,2.1,0.2,23,23,89,0
2394,708,16,23.4,13.5,6,0.9,0.2,20.6,20.6,88,0
2400,710,0,24.8,11.6,5.7,2.6,2.3,22.2,22.2,90,0
2401,710,15,20.6,10.6,5.3,1.7,1.9,19.5,19.5,95,0
2412,711,0,19.6,9.7,4,1.9,0.7,16.3,16.3,83,0
2413,711,14,15.6,6.7,4.8,1.5,1.9,14.9,14.9,96,0
2418,712,0,22.7,13.7,3.1,2.7,0.2,19.7,19.7,87,0
2480,712,14,23.2,13.5,3,2.3,0.2,19,19,82,0
2419,713,0,17.8,6.9,3.3,2.2,5.4,17.8,17.8,100,0
2420,713,14,18,7.8,3.8,2.1,3.9,17.6,17.6,98,0
2421,713,24,35.2,NA,NA,4.2,24.2,NA,28.4,NA,NA
2426,714,0,15.8,8.5,3.6,1.6,3,16.7,16.7,100,0
2427,714,10,16.5,NA,NA,3.2,7.5,NA,10.7,NA,NA
2429,715,0,25,11.8,4.3,3,0.4,19.5,19.5,78,0
2430,715,14,19.9,11.5,3.8,2.3,0.4,18,18,91,0
2435,716,0,31.1,12.6,10,2.8,4,29.4,29.4,95,0
2436,716,12,27.9,9.8,12.7,2.2,5.1,29.8,29.8,100,0
2439,717,0,17,10.9,3.7,2,0.4,17,17,82,0
2440,717,18,17.1,11.8,3.2,1.6,0.5,17.1,17.1,80,0
2448,718,0,21.7,12.8,2.5,1.7,1,18,18,83,0
2449,718,13,22,13.5,3.3,1.8,0.6,19.2,19.2,87,0
2459,719,0,28,16.1,4.6,2.6,0.4,23.7,23.700000000000003,85,-3.552713678800501e-15
2460,719,13,25.5,16.8,3.5,2,0.2,22.5,22.5,88,0
2465,720,0,34,23,5.1,2.7,0.4,31.2,31.2,92,0
2466,720,14,27.7,19.4,3.6,2.3,0.3,25.6,25.599999999999998,93,3.552713678800501e-15
2472,721,0,21.9,10.7,6,3.1,NA,20.4,19.8,93,0.5999999999999979
2473,721,19,29.1,NA,NA,2.8,4,NA,6.8,NA,NA
2477,722,0,16.4,7.5,2.9,2.7,0.9,14,14,85,0
2478,722,12,16.9,9.4,2.8,1.6,1,14.8,14.8,88,0
2486,723,0,24.1,13.9,4.4,2,0.3,20.6,20.6,85,0
2487,723,15,20.8,12.7,6,1.6,0.2,20.5,20.5,98,0
2496,724,0,30.4,18.9,3.9,2.9,0.8,26.5,26.5,87,0
