idh,idp,y,x,top,bot,colh,cols,cec,bsum,bsat,oc,ph,clay,h_humedo,value_humedo,chroma_humedo,h_seco,value_seco,chroma_seco
27489,38,-35.788333,-61.930833,28,42,10YR 3/3,NA,12.7,10.6,45,0.78,6.9,19.6,10YR,3,3,NA,,
27490,38,-35.788333,-61.930833,42,70,10YR 4/4,NA,11,9.9,38,0.45,6.9,18.1,10YR,4,4,NA,,
15208,46,-33.825,-61.552778000000004,0,20,10YR 2.5/2,10YR 5/2,22.1,18.8,85,1.73,6.1,21.9,10YR,2.5,2,10YR,5,2
15209,46,-33.825,-61.552778000000004,20,28,10YR 3/3,10YR 5/3,20.6,17.2,83,0.83,6.4,27.2,10YR,3,3,10YR,5,3
15210,46,-33.825,-61.552778000000004,28,57,7.5YR 4/2,7.5YR 5/2,24.3,20.1,83,0.6,6.4,33.6,7.5YR,4,2,7.5YR,5,2
28706,51,-38.806003,-60.351883,0,15,10YR 2/1,NA,18.9,17.1,90,2.59,6.5,20.7,10YR,2,1,NA,,
28707,51,-38.806003,-60.351883,15,25,10YR 3/1,NA,19.1,16.2,85,2.46,6.5,21.4,10YR,3,1,NA,,
28708,51,-38.806003,-60.351883,25,52,7.5YR 3/2,NA,21.9,20.3,93,1.28,6.5,26.9,7.5YR,3,2,NA,,
28515,54,-34.5375,-62.466667,0,23,10YR 3/2,10YR 5/2,11.4,9.3,92,1.21,5.5,12.7,10YR,3,2,10YR,5,2
28516,54,-34.5375,-62.466667,23,34,10YR 3/2,NA,11.6,11.1,96,0.91,5.9,13.8,10YR,3,2,NA,,
28517,54,-34.5375,-62.466667,34,83,7.5YR 4/4,7.5YR 6/4,11.5,11.9,100,0.3,6.2,16,7.5YR,4,4,7.5YR,6,4
